Prev Time,Curr Time,Frame Dur,FrameRate,
106.156897,106.173544,0.01665,60.072291,
106.173544,106.190284,0.01674,59.736210,
106.190284,106.207414,0.01713,58.377247,
106.207414,106.223886,0.01647,60.709790,
106.223886,106.240930,0.01704,58.669452,
106.240930,106.257380,0.01645,60.792653,
106.257380,106.273983,0.01660,60.228953,
106.273983,106.290251,0.01627,61.469845,
106.290251,106.306899,0.01665,60.068819,
106.306899,106.323579,0.01668,59.953311,
106.323579,106.340237,0.01666,60.029497,
106.340237,106.356916,0.01668,59.956770,
106.356916,106.373599,0.01668,59.938328,
106.373599,106.390211,0.01661,60.198718,
106.390211,106.407138,0.01693,59.076323,
106.407138,106.423633,0.01649,60.624796,
106.423633,106.440492,0.01686,59.316845,
106.440492,106.456943,0.01645,60.785542,
106.456943,106.473598,0.01665,60.042213,
106.473598,106.490245,0.01665,60.069977,
106.490245,106.506916,0.01667,59.986763,
106.506916,106.523527,0.01661,60.198718,
106.523527,106.540195,0.01667,59.994843,
106.540195,106.556884,0.01669,59.921049,
106.556884,106.573566,0.01668,59.946395,
106.573566,106.590215,0.01665,60.061876,
106.590215,106.606980,0.01676,59.650494,
106.606980,106.623654,0.01667,59.972916,
106.623654,106.640278,0.01662,60.154582,
106.640278,106.656899,0.01662,60.161547,
106.656899,106.673605,0.01671,59.858926,
106.673605,106.690265,0.01666,60.023718,
106.690265,106.706914,0.01665,60.064190,
106.706914,106.723788,0.01687,59.262726,
106.723788,106.740245,0.01646,60.766586,
106.740245,106.756928,0.01668,59.940633,
106.756928,106.773561,0.01663,60.120943,
106.773561,106.790436,0.01687,59.260473,
106.790436,106.806947,0.01651,60.564735,
106.806947,106.823630,0.01668,59.940633,
106.823630,106.840315,0.01668,59.934871,
106.840315,106.857506,0.01719,58.171390,
106.857506,106.873647,0.01614,61.951080,
106.873647,106.890245,0.01660,60.248739,
106.890245,106.906912,0.01667,59.999461,
106.906912,106.923596,0.01668,59.937176,
106.923596,106.940457,0.01686,59.307818,
106.940457,106.957306,0.01685,59.352979,
106.957306,106.973581,0.01628,61.443194,
106.973581,106.990278,0.01670,59.889971,
106.990278,107.006914,0.01664,60.112829,
107.006914,107.024120,0.01721,58.116090,
107.024120,107.040314,0.01619,61.751079,
107.040314,107.056971,0.01666,60.035276,
107.056971,107.073668,0.01670,59.891121,
107.073668,107.090257,0.01659,60.281356,
107.090257,107.106948,0.01669,59.912988,
107.106948,107.123644,0.01670,59.893422,
107.123644,107.140263,0.01662,60.173158,
107.140263,107.156953,0.01669,59.917594,
107.156953,107.173604,0.01665,60.054935,
107.173604,107.190245,0.01664,60.094291,
107.190245,107.207417,0.01717,58.234409,
107.207417,107.223837,0.01642,60.900713,
107.223837,107.241152,0.01732,57.753302,
107.241152,107.256955,0.01580,63.278846,
107.256955,107.273593,0.01664,60.101241,
107.273593,107.290289,0.01670,59.894573,
107.290289,107.307077,0.01679,59.568437,
107.307077,107.323648,0.01657,60.346695,
107.323648,107.340275,0.01663,60.144139,
107.340275,107.357000,0.01673,59.788904,
107.357000,107.373619,0.01662,60.171997,
107.373619,107.390260,0.01664,60.093133,
107.390260,107.406933,0.01667,59.977531,
107.406933,107.423646,0.01671,59.833653,
107.423646,107.440815,0.01717,58.243111,
107.440815,107.457004,0.01619,61.769430,
107.457004,107.473928,0.01692,59.090878,
107.473928,107.490303,0.01638,61.067711,
107.490303,107.506973,0.01667,59.986763,
107.506973,107.523629,0.01666,60.039901,
107.523629,107.540313,0.01668,59.936023,
107.540313,107.556935,0.01662,60.160386,
107.556935,107.573614,0.01668,59.955617,
107.573614,107.590270,0.01666,60.039901,
107.590270,107.606939,0.01667,59.990226,
107.606939,107.624022,0.01708,58.540566,
107.624022,107.640352,0.01633,61.236831,
107.640352,107.657004,0.01665,60.051465,
107.657004,107.673601,0.01660,60.252232,
107.673601,107.690259,0.01666,60.031808,
107.690259,107.706975,0.01672,59.822173,
107.706975,107.723626,0.01665,60.057249,
107.723626,107.740303,0.01668,59.960229,
107.740303,107.756966,0.01666,60.013320,
107.756966,107.773625,0.01666,60.029497,
107.773625,107.790305,0.01668,59.952158,
107.790305,107.806958,0.01665,60.050308,
107.806958,107.823748,0.01679,59.559334,
107.823748,107.840462,0.01671,59.826764,
107.840462,107.857372,0.01691,59.136831,
107.857372,107.873802,0.01643,60.865046,
107.873802,107.890488,0.01669,59.932567,
107.890488,107.907063,0.01658,60.331514,
107.907063,107.923730,0.01667,59.995997,
107.923730,107.940431,0.01670,59.879619,
107.940431,107.957088,0.01666,60.035276,
